start_station_id,end_station_id,n_trips,duration,start_station_name,end_station_name
66,62,111,17367175,South Van Ness at Market,2nd at Folsom
50,50,1733,10819388,Harry Bridges Plaza (Ferry Building),Harry Bridges Plaza (Ferry Building)
60,60,2092,9209028,Embarcadero at Sansome,Embarcadero at Sansome
35,35,894,8264042,University and Emerson,University and Emerson
50,60,6164,7793685,Harry Bridges Plaza (Ferry Building),Embarcadero at Sansome
71,71,619,6511257,Powell at Post (Union Square),Powell at Post (Union Square)
76,76,724,6134989,Market at 4th,Market at 4th
39,39,614,5771049,Powell Street BART,Powell Street BART
28,28,528,4551306,Mountain View Caltrain Station,Mountain View Caltrain Station
67,67,666,4178770,Market at 10th,Market at 10th
3,3,391,4049992,San Jose Civic Center,San Jose Civic Center
74,74,668,3967918,Steuart at Market,Steuart at Market
72,72,436,3766862,Civic Center BART (7th at Market),Civic Center BART (7th at Market)
70,70,533,3615683,San Francisco Caltrain (Townsend at 4th),San Francisco Caltrain (Townsend at 4th)
73,73,479,3328525,Grant Avenue at Columbus Avenue,Grant Avenue at Columbus Avenue
34,34,396,3056384,Palo Alto Caltrain Station,Palo Alto Caltrain Station
70,50,3622,3036218,San Francisco Caltrain (Townsend at 4th),Harry Bridges Plaza (Ferry Building)
48,48,620,2932682,Embarcadero at Vallejo,Embarcadero at Vallejo
50,61,4357,2913319,Harry Bridges Plaza (Ferry Building),2nd at Townsend
60,50,3231,2903217,Embarcadero at Sansome,Harry Bridges Plaza (Ferry Building)
51,70,3967,2844287,Embarcadero at Folsom,San Francisco Caltrain (Townsend at 4th)
61,50,4839,2821533,2nd at Townsend,Harry Bridges Plaza (Ferry Building)
50,70,3033,2797767,Harry Bridges Plaza (Ferry Building),San Francisco Caltrain (Townsend at 4th)
57,57,400,2781728,5th at Howard,5th at Howard
74,60,3116,2778490,Steuart at Market,Embarcadero at Sansome
54,54,580,2734969,Embarcadero at Bryant,Embarcadero at Bryant
48,60,1181,2720617,Embarcadero at Vallejo,Embarcadero at Sansome
29,29,133,2711990,San Antonio Caltrain Station,San Antonio Caltrain Station
36,36,213,2624476,California Ave Caltrain Station,California Ave Caltrain Station
70,55,3510,2593350,San Francisco Caltrain (Townsend at 4th),Temporary Transbay Terminal (Howard at Beale)
74,70,3477,2582965,Steuart at Market,San Francisco Caltrain (Townsend at 4th)
33,33,160,2570643,Rengstorff Avenue / California Street,Rengstorff Avenue / California Street
67,70,3190,2431220,Market at 10th,San Francisco Caltrain (Townsend at 4th)
50,48,1286,2375571,Harry Bridges Plaza (Ferry Building),Embarcadero at Vallejo
77,68,492,2371076,Market at Sansome,Yerba Buena Center of the Arts (3rd @ Howard)
41,41,384,2361821,Clay at Battery,Clay at Battery
54,60,1318,2329041,Embarcadero at Bryant,Embarcadero at Sansome
76,60,929,2321245,Market at 4th,Embarcadero at Sansome
60,74,4269,2316082,Embarcadero at Sansome,Steuart at Market
