start_station_id,end_station_id,n_trips,duration
2,2,191,1724363
2,3,448,258472
2,4,2200,638922
2,5,627,365842
2,6,1274,570710
2,7,1007,524106
2,8,228,168893
2,9,634,644274
2,10,519,530961
2,11,808,506622
2,12,190,1487769
2,13,595,392499
2,14,35,19514
2,16,392,325589
2,28,3,249615
2,33,1,12893
2,37,1,75844
2,80,23,29485
2,84,382,319453
3,2,381,410385
3,3,391,4049992
3,4,118,65164
3,5,53,116974
3,6,107,87681
3,7,55,85450
3,8,36,510016
3,9,29,45986
3,10,92,53034
3,11,101,89546
3,12,54,763968
3,13,22,25275
3,14,49,43891
3,16,51,267206
3,28,4,35757
3,72,1,12088
3,80,9,13648
3,84,41,31518
4,2,2283,1273669
4,3,78,66307
4,4,198,1495756
4,5,32,31956
4,6,49,81900
4,7,106,103360
4,8,51,84859
4,9,26,29488
4,10,32,54600
4,11,44,30373
4,12,330,163747
4,13,16,27212
4,14,554,148385
4,16,37,27736
4,70,1,41312
4,80,10,13722
4,84,14,54652
5,2,687,219293
5,3,49,40315
5,4,37,29504
5,5,78,260152
5,6,45,54950
5,7,74,139217
5,8,30,121815
5,9,17,14063
5,10,33,24727
5,11,49,363490
5,12,57,35659
5,13,24,67884
5,14,29,21888
5,16,34,20253
5,33,1,84633
5,80,9,10064
5,84,4,2048
6,2,1172,492648
6,3,122,132823
6,4,44,286286
6,5,34,25169
6,6,197,1727118
6,7,139,108878
6,8,93,75912
6,9,260,639903
6,10,117,200132
6,11,111,111751
6,12,47,32442
6,13,154,39295
6,14,105,36925
6,16,60,82856
6,80,100,70785
6,84,162,81353
7,2,695,476139
7,3,59,98607
7,4,88,44567
7,5,59,50033
7,6,133,82391
7,7,149,694539
7,8,162,139345
7,9,222,428796
7,10,70,301900
7,11,136,212574
7,12,50,165845
7,13,97,54451
7,14,44,38997
7,16,220,132723
7,76,1,7798
7,80,5,36506
7,84,43,31580
8,2,261,163981
8,3,51,186173
8,4,34,89413
8,5,15,21168
8,6,135,92933
8,7,126,60684
8,8,160,696204
8,9,70,99798
8,10,101,223822
8,11,435,125849
8,12,88,127515
8,13,55,32734
8,14,30,29832
8,16,105,174458
8,31,3,20500
8,80,6,9113
8,84,17,9465
9,2,438,371613
9,3,62,97674
9,4,64,43767
9,5,30,27494
9,6,252,195163
9,7,110,509949
9,8,92,217148
9,9,230,1838552
9,10,133,208011
9,11,151,128180
9,12,41,37838
9,13,72,62684
9,14,35,37601
9,16,31,40568
9,37,2,155451
9,80,46,66284
9,84,121,178940
10,2,716,514214
10,3,118,80214
10,4,37,66542
10,5,65,39709
10,6,109,62565
10,7,144,67800
10,8,435,141306
10,9,127,201549
10,10,229,885037
10,11,142,128370
10,12,80,45532
10,13,48,38355
10,14,21,13673
10,16,88,413831
10,80,19,22786
10,84,15,118956
11,2,806,462159
11,3,71,143024
11,4,42,34836
