year,start_station_id,end_station_id,n_trips,duration
2013,2,2,46,103100
2013,2,3,41,34023
2013,2,4,269,81267
2013,2,5,114,70162
2013,2,6,209,95760
2013,2,7,150,78650
2013,2,8,63,41798
2013,2,9,67,71666
2013,2,10,100,71545
2013,2,11,73,87647
2013,2,12,33,643893
2013,2,13,84,126586
2013,2,14,11,3839
2013,2,16,53,42464
2013,2,33,1,12893
2013,3,2,55,31463
2013,3,3,56,545909
2013,3,4,11,9311
2013,3,5,11,6947
2013,3,6,21,13589
2013,3,7,7,26453
2013,3,8,18,64896
2013,3,9,5,6134
2013,3,10,15,10903
2013,3,11,18,9216
2013,3,12,2,1155
2013,3,13,6,3194
2013,3,14,12,8109
2013,3,16,15,190176
2013,3,72,1,12088
2013,4,2,333,100492
2013,4,3,13,8049
2013,4,4,24,292142
2013,4,5,7,22013
2013,4,6,9,50840
2013,4,7,20,8363
2013,4,8,6,18993
2013,4,9,6,5346
2013,4,10,6,2506
2013,4,11,6,4708
2013,4,12,48,24848
2013,4,13,2,1611
2013,4,14,58,11569
2013,4,16,10,6871
2013,5,2,110,37015
2013,5,3,19,8149
2013,5,4,6,2989
2013,5,5,22,58282
2013,5,6,12,7020
2013,5,7,14,8728
2013,5,8,4,2896
2013,5,9,6,4046
2013,5,10,9,4800
2013,5,11,16,51320
2013,5,12,3,2856
2013,5,13,5,4021
2013,5,14,5,1722
2013,5,16,1,1050
2013,5,33,1,84633
2013,6,2,150,68810
2013,6,3,23,17329
2013,6,4,16,153567
2013,6,5,5,1521
2013,6,6,48,197963
2013,6,7,46,22792
2013,6,8,25,15189
2013,6,9,67,132231
2013,6,10,23,27216
2013,6,11,43,36557
2013,6,12,10,6862
2013,6,13,25,7709
2013,6,14,25,8731
2013,6,16,27,49142
2013,7,2,142,72070
2013,7,3,14,18918
2013,7,4,18,9209
2013,7,5,13,16605
2013,7,6,36,25525
2013,7,7,35,84923
2013,7,8,58,71765
2013,7,9,70,38995
2013,7,10,25,21301
2013,7,11,30,8122
2013,7,12,20,12123
2013,7,13,24,19596
2013,7,14,9,5995
2013,7,16,42,28630
2013,8,2,65,39317
2013,8,3,18,15927
2013,8,4,9,6894
2013,8,5,3,2664
2013,8,6,31,19002
2013,8,7,35,13751
2013,8,8,52,236085
2013,8,9,9,6328
2013,8,10,26,10944
2013,8,11,123,37085
2013,8,12,32,10147
2013,8,13,7,4035
2013,8,14,12,10805
2013,8,16,29,20302
2013,9,2,15,14378
2013,9,3,16,24588
2013,9,4,33,21099
2013,9,5,5,3607
2013,9,6,53,36962
2013,9,7,38,26563
2013,9,8,15,27309
2013,9,9,74,509673
2013,9,10,35,87182
2013,9,11,42,29925
2013,9,12,11,9439
2013,9,13,17,9918
2013,9,14,11,12937
2013,9,16,9,12165
2013,9,80,1,1793
